country,rank,score,landAreaKm,latitude,longitude
United Kingdom,1,100.0,241930.0,55.378051,-3.435973
Netherlands,2,100.0,33670.0,52.132633,5.291266
Switzerland,3,100.0,39516.0,46.818188,8.227512
Finland,4,100.0,303940.0,61.92411,25.748151
Norway,5,100.0,364285.0,60.472024,8.468946
Iceland,6,100.0,100830.0,64.963051,-19.020835
Malta,7,99.8,320.0,35.937496,14.375416
Germany,8,99.1,349390.0,51.165691,10.451526
Luxembourg,9,98.7,2574.5,49.815273,6.129583
Sweden,10,98.6,407283.5,60.128161,18.643501
Italy,11,98.3,295717.0,41.87194,12.56738
Greece,12,98.2,128900.0,39.074208,21.824312
Denmark,13,97.5,40000.0,56.26392,9.501785
Ireland,14,97.4,68890.0,53.41291,-8.24389
Spain,15,96.9,499556.6,40.463667,-3.74922
France,16,96.3,547557.0,46.227638,2.213749
Japan,17,95.1,364500.0,36.204824,138.252924
Austria,18,94.7,82520.0,47.516231,14.550072
Cyprus,19,94.0,9240.0,35.126413,33.429859
Belgium,20,93.6,30280.0,50.503887,4.469936
Singapore,21,93.3,718.0,1.352083,103.819836
Israel,22,92.9,21640.0,31.046051,34.851612
South Korea,23,90.8,97600.0,35.907757,127.766922
Canada,24,88.1,8965590.0,56.130366,-106.346771
Australia,25,87.1,7692020.0,-25.274398,133.775136
United States,26,86.1,9147420.0,37.09024,-95.712891
Brunei,27,85.7,5270.0,4.535277,114.727669
Portugal,28,83.5,91605.6,39.399872,-8.224454
New Zealand,29,80.4,263310.0,-40.900557,174.885971
Czech Republic,30,76.5,77198.5,49.817492,15.472962
Slovenia,31,74.7,20136.4,46.151241,14.995463
Taiwan,32,72.4,36197.0,23.69781,120.960515
Slovakia,33,71.9,49035.0,48.669026,19.699024
Poland,34,71.8,306130.0,51.919438,19.145136
Uruguay,35,70.8,175020.0,-32.522779,-55.765835
Croatia,36,70.3,55960.0,45.1,15.2
Bulgaria,37,68.4,108560.0,42.733883,25.48583
Chile,38,68.1,743532.0,-35.675147,-71.542969
Kuwait,39,67.5,17820.0,29.31166,47.481766
United Arab Emirates,40,67.2,71020.0,23.424076,53.847818
Qatar,41,66.6,11490.0,25.354826,51.183884
Costa Rica,42,66.2,51060.0,9.748917,-83.753428
Serbia,43,65.6,87460.0,44.016521,21.005859
Montenegro,44,65.6,13450.0,42.708678,19.37439
Mauritius,45,65.5,2030.0,-20.348404,57.552152
Argentina,46,64.8,2736690.0,-38.416097,-63.616672
Jordan,47,62.7,88794.0,30.585164,36.238414
Hungary,48,62.2,91260.0,47.162494,19.503304
Estonia,49,61.9,42750.0,58.595272,25.013607
Bosnia and Herzegovina,50,61.5,51200.0,43.915886,17.679076
Belarus,52,60.5,202980.0,53.709807,27.953389
Lebanon,53,59.8,10230.0,33.854721,35.862285
China,54,59.5,9424702.9,35.86166,104.195397
Saudi Arabia,55,59.3,2149690.0,23.885942,45.079162
Latvia,56,59.1,62230.0,56.879635,24.603189
Lithuania,57,58.4,62620.0,55.169438,23.881275
Oman,58,58.3,309500.0,21.512583,55.923255
Malaysia,59,57.6,328550.0,4.210484,101.975766
Armenia,60,57.3,28470.0,40.069099,45.038189
Bahrain,61,56.6,785.0,25.930414,50.637772
Romania,62,56.0,230080.0,45.943161,24.96676
Thailand,63,55.9,510890.0,15.870032,100.992541
Colombia,64,55.9,1109500.0,4.570868,-74.297333
Russia,65,55.5,16376870.0,61.52401,105.318756
Ukraine,66,55.2,579400.0,48.379433,31.16558
Kazakhstan,67,55.2,2699700.0,48.019573,66.923684
Bahamas,68,55.0,10010.0,25.03428,-77.39628
Albania,69,54.1,27400.0,41.153332,20.168331
Iran,70,53.7,1622500.0,32.427908,53.688046
Trinidad and Tobago,71,53.4,5130.0,10.691803,-61.222503
Algeria,72,53.3,2381741.0,28.033886,1.659626
Mexico,73,52.9,1943950.0,23.634501,-102.552784
Vietnam,74,52.8,313429.0,14.058324,108.277199
Turkey,75,52.7,783562.0,38.963745,35.243322
Tunisia,76,52.6,155360.0,33.886917,9.537499
Uzbekistan,77,52.1,440650.0,41.377491,64.585262
Barbados,78,52.0,430.0,13.193887,-59.543198
Georgia,79,51.7,69490.0,42.315407,43.356892
Seychelles,80,51.5,460.0,-4.679574,55.491977
Ecuador,81,50.3,248360.0,-1.831239,-78.183406
Moldova,82,50.0,32884.6,47.411631,28.369885
Iraq,83,49.7,434128.0,33.223191,43.679291
Cuba,84,49.7,103800.0,21.521757,-77.781167
Jamaica,85,49.4,10830.0,18.109581,-77.297508
Samoa,86,49.3,2780.0,-13.759029,-172.104629
Sri Lanka,87,48.5,61860.0,7.873054,80.771797
Maldives,88,47.8,300.0,3.202778,73.22068
Paraguay,89,47.6,397300.0,-23.442503,-58.443832
Dominica,90,47.6,750.0,15.414999,-61.370976
Turkmenistan,91,47.4,469930.0,38.969719,59.556278
Grenada,92,47.1,340.0,12.262776,-61.604171
Venezuela,93,46.8,882050.0,6.42375,-66.58973
Tonga,94,46.5,720.0,-21.178986,-175.198242
Brazil,95,46.2,8358140.0,-14.235004,-51.92528
Azerbaijan,96,45.6,82646.0,40.143105,47.576927
Kyrgyzstan,97,45.6,191800.0,41.20438,74.766098
Saint Lucia,98,45.4,610.0,13.909444,-60.978893
Panama,99,43.6,74180.0,8.537981,-80.782127
Saint Vincent and the Grenadines,100,43.6,390.0,12.984305,-61.287228
Mongolia,101,43.2,1557506.8,46.862496,103.846656
Peru,102,43.1,1280000.0,-9.189967,-75.015152
Nicaragua,103,42.9,120340.0,12.865416,-85.207229
Belize,104,42.7,22810.0,17.189877,-88.49765
El Salvador,105,41.7,20720.0,13.794185,-88.89653
Morocco,106,40.9,446300.0,31.791702,-7.09262
Bolivia,107,40.1,1083300.0,-16.290154,-63.588653
Suriname,108,39.4,156000.0,3.919305,-56.027783
Philippines,109,39.0,298170.0,12.879721,121.774017
Dominican Republic,110,39.0,48310.0,18.735693,-70.162651
Egypt,111,36.7,995450.0,26.820553,30.802498
Micronesia,112,35.5,700.0,7.425554,150.550812
Guyana,113,35.3,196850.0,4.860416,-58.93018
Fiji,115,34.7,18270.0,-16.578193,179.414413
Cambodia,116,34.3,176520.0,12.565679,104.990963
Equatorial Guinea,117,33.2,28050.0,1.650801,10.267895
Marshall Islands,118,32.3,180.0,7.131474,171.184478
Honduras,119,31.8,111890.0,15.199999,-86.241905
Bhutan,120,31.2,38140.0,27.514162,90.433601
Tajikistan,122,30.9,138790.0,38.861034,71.276093
Indonesia,123,28.5,1877519.0,-0.789275,113.921327
Guatemala,124,28.3,107160.0,15.783471,-90.230759
Afghanistan,125,28.1,652230.0,33.93911,67.709953
Gabon,126,27.7,257670.0,-0.803689,11.609444
Bangladesh,127,27.4,130170.0,23.684994,90.356331
Nepal,128,27.1,143350.0,28.394857,84.124008
Laos,129,26.6,230800.0,19.85627,102.495496
South Africa,130,24.7,1213090.0,-30.559482,22.937506
Sudan,131,22.4,1868000.0,12.862807,30.217636
Vanuatu,132,21.5,12190.0,-15.376706,166.959158
Ghana,133,20.9,227533.0,7.946527,-1.023194
Botswana,134,20.9,566730.0,-22.328474,24.684866
Namibia,135,19.7,823290.0,-22.95764,18.49041
India,136,19.5,2973190.0,20.593684,78.96288
Gambia,137,19.2,10120.0,13.443182,-15.310139
Tanzania,138,18.5,885800.0,-6.369028,34.888822
Djibouti,139,18.3,23180.0,11.825138,42.590275
Uganda,140,17.6,200520.0,1.373333,32.290275
Pakistan,141,17.5,770880.0,30.375321,69.345116
Zimbabwe,143,16.9,386850.0,-19.015438,29.154857
Rwanda,144,16.9,24670.0,-1.940278,29.873888
Mozambique,145,16.4,786380.0,-18.665695,35.529562
Kiribati,146,16.3,810.0,-3.370417,-168.734039
Papua New Guinea,147,15.6,452860.0,-6.314993,143.95555
Comoros,148,15.2,1861.0,-11.875001,43.872219
Haiti,150,14.1,27560.0,18.971187,-72.285215
Solomon Islands,151,14.1,27990.0,-9.64571,160.156194
Kenya,152,13.7,569140.0,-0.023559,37.906193
Mauritania,154,13.6,1030700.0,21.00789,-10.940835
Zambia,155,13.5,743390.0,-13.133897,27.849332
Benin,156,13.5,112760.0,9.30769,2.315834
Senegal,157,13.1,192530.0,14.497401,-14.452362
Angola,158,12.8,1246700.0,-11.202692,17.873887
Malawi,160,12.1,94280.0,-13.254308,34.301525
Sierra Leone,161,11.6,72180.0,8.460555,-11.779889
Guinea,162,11.3,245720.0,9.945587,-9.696645
Ethiopia,163,11.0,1128571.3,9.145,40.489673
Liberia,164,9.9,96320.0,6.428055,-9.429499
Mali,165,8.3,1220190.0,17.570692,-3.996166
Cameroon,166,7.8,472710.0,7.369722,12.354722
Burkina Faso,167,7.8,273600.0,12.238333,-1.561593
Lesotho,168,7.3,30360.0,-29.609988,28.233608
Guinea-Bissau,169,6.8,28120.0,11.803749,-15.180413
Eritrea,170,6.4,121040.8,15.179384,39.782334
Madagascar,171,6.0,581800.0,-18.766947,46.869107
Burundi,172,5.4,25680.0,-3.373056,29.918886
Togo,173,5.2,54390.0,8.619543,0.824782
Nigeria,174,5.0,910770.0,9.081999,8.675277
Niger,175,1.5,1266700.0,17.607789,8.081666
Chad,176,,1259200.0,15.454166,18.732207
Central African Republic,177,,622980.0,6.611111,20.939444
